,Entity,Year,Terrorist attacks,Oil Reserves (Barrels),Percentage of World Reserves,Country,Government Integrity,Judicial Effectiveness,Trade Freedom,Property Rights
0,Albania,1994,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8
1,Albania,1995,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
2,Albania,1996,6,168332000,0.01,Albania,36.6,50.0,82.6,56.8
3,Albania,1997,41,168332000,0.01,Albania,36.6,50.0,82.6,56.8
4,Albania,1998,7,168332000,0.01,Albania,36.6,50.0,82.6,56.8
5,Albania,1999,3,168332000,0.01,Albania,36.6,50.0,82.6,56.8
6,Albania,2000,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8
7,Albania,2001,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
8,Albania,2002,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
9,Albania,2003,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
10,Albania,2004,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
11,Albania,2005,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
12,Albania,2006,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
13,Albania,2007,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
14,Albania,2008,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
15,Albania,2009,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
16,Albania,2010,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
17,Albania,2011,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
18,Albania,2012,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
19,Albania,2013,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
20,Albania,2014,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8
21,Albania,2015,4,168332000,0.01,Albania,36.6,50.0,82.6,56.8
22,Albania,2016,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8
23,Albania,2017,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
24,Albania,2018,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8
25,Albania,2019,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
26,Albania,2020,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
27,Albania,2021,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8
28,Algeria,1994,227,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
29,Algeria,1995,185,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
30,Algeria,1996,129,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
31,Algeria,1997,344,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
32,Algeria,1998,151,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
33,Algeria,1999,106,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
34,Algeria,2000,138,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
35,Algeria,2001,113,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
36,Algeria,2002,132,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
37,Algeria,2003,75,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
38,Algeria,2004,67,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
39,Algeria,2005,104,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
40,Algeria,2006,152,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
41,Algeria,2007,124,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
42,Algeria,2008,107,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
43,Algeria,2009,108,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
44,Algeria,2010,100,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
45,Algeria,2011,15,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
46,Algeria,2012,41,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
47,Algeria,2013,22,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
48,Algeria,2014,13,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5
