Unnamed: 0_x,Entity,Year,Terrorist attacks,Oil Reserves (Barrels),Percentage of World Reserves,Country,Government Integrity,Judicial Effectiveness,Trade Freedom,Property Rights,Unnamed: 0_y,Lockheed Martin (Billion USD),General Dynamics (Billion USD)
0,Albania,1994,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,0,22.9,3.2
1,Albania,1995,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,1,22.8,3.1
2,Albania,1996,6,168332000,0.01,Albania,36.6,50.0,82.6,56.8,2,26.8,3.1
3,Albania,1997,41,168332000,0.01,Albania,36.6,50.0,82.6,56.8,3,28.0,3.6
4,Albania,1998,7,168332000,0.01,Albania,36.6,50.0,82.6,56.8,4,26.0,7.4
5,Albania,1999,3,168332000,0.01,Albania,36.6,50.0,82.6,56.8,5,25.0,8.9
6,Albania,2000,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,6,24.5,10.4
7,Albania,2001,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,7,24.0,12.0
8,Albania,2002,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,8,26.5,13.7
9,Albania,2003,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,9,31.8,16.4
10,Albania,2004,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,10,35.5,19.2
11,Albania,2005,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,11,37.7,21.0
12,Albania,2006,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,12,39.6,24.1
13,Albania,2007,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,13,41.9,27.2
14,Albania,2008,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,14,42.7,29.3
15,Albania,2009,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,15,45.2,32.0
16,Albania,2010,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,16,45.7,32.5
17,Albania,2011,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,17,46.5,32.7
18,Albania,2012,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,18,47.2,31.5
19,Albania,2013,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,19,45.3,30.9
20,Albania,2014,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,20,45.6,30.8
21,Albania,2015,4,168332000,0.01,Albania,36.6,50.0,82.6,56.8,21,46.1,31.8
22,Albania,2016,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,22,47.2,30.6
23,Albania,2017,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,23,50.0,31.0
24,Albania,2018,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,24,53.8,36.2
25,Albania,2019,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,25,59.8,39.3
26,Albania,2020,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,26,65.4,38.0
27,Albania,2021,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,27,67.1,38.5
28,Algeria,1994,227,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,0,22.9,3.2
29,Algeria,1995,185,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,1,22.8,3.1
30,Algeria,1996,129,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,2,26.8,3.1
31,Algeria,1997,344,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,3,28.0,3.6
32,Algeria,1998,151,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,4,26.0,7.4
33,Algeria,1999,106,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,5,25.0,8.9
34,Algeria,2000,138,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,6,24.5,10.4
35,Algeria,2001,113,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,7,24.0,12.0
36,Algeria,2002,132,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,8,26.5,13.7
37,Algeria,2003,75,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,9,31.8,16.4
38,Algeria,2004,67,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,10,35.5,19.2
39,Algeria,2005,104,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,11,37.7,21.0
40,Algeria,2006,152,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,12,39.6,24.1
41,Algeria,2007,124,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,13,41.9,27.2
42,Algeria,2008,107,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,14,42.7,29.3
43,Algeria,2009,108,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,15,45.2,32.0
44,Algeria,2010,100,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,16,45.7,32.5
45,Algeria,2011,15,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,17,46.5,32.7
46,Algeria,2012,41,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,18,47.2,31.5
47,Algeria,2013,22,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,19,45.3,30.9
48,Algeria,2014,13,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,20,45.6,30.8
49,Algeria,2015,15,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,21,46.1,31.8
50,Algeria,2016,9,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,22,47.2,30.6
51,Algeria,2017,14,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,23,50.0,31.0
52,Algeria,2018,7,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,24,53.8,36.2
53,Algeria,2019,0,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,25,59.8,39.3
54,Algeria,2020,4,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,26,65.4,38.0
55,Algeria,2021,1,12200000000,0.7,Algeria,27.7,28.9,57.4,27.5,27,67.1,38.5
56,Angola,1994,9,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,0,22.9,3.2
57,Angola,1995,10,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,1,22.8,3.1
58,Angola,1996,4,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,2,26.8,3.1
59,Angola,1997,7,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,3,28.0,3.6
60,Angola,1998,20,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,4,26.0,7.4
61,Angola,1999,34,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,5,25.0,8.9
62,Angola,2000,22,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,6,24.5,10.4
63,Angola,2001,40,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,7,24.0,12.0
64,Angola,2002,6,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,8,26.5,13.7
65,Angola,2003,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,9,31.8,16.4
66,Angola,2004,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,10,35.5,19.2
67,Angola,2005,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,11,37.7,21.0
68,Angola,2006,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,12,39.6,24.1
69,Angola,2007,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,13,41.9,27.2
70,Angola,2008,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,14,42.7,29.3
71,Angola,2009,1,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,15,45.2,32.0
72,Angola,2010,2,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,16,45.7,32.5
73,Angola,2011,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,17,46.5,32.7
74,Angola,2012,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,18,47.2,31.5
75,Angola,2013,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,19,45.3,30.9
76,Angola,2014,0,8423000000,0.51,Angola,27.8,25.7,68.6,40.4,20,45.6,30.8
