  Unnamed: 0_x,Entity,Year,Terrorist attacks,Oil Reserves (Barrels),Percentage of World Reserves,Country,Government Integrity,Judicial Effectiveness,Trade Freedom,Property Rights,Unnamed: 0_y,Lockheed Martin (Billion USD),General Dynamics (Billion USD),region
  0,Albania,1994,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,0,22.9,3.2,Europe
  1,Albania,1995,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,1,22.8,3.1,Europe
  2,Albania,1996,6,168332000,0.01,Albania,36.6,50.0,82.6,56.8,2,26.8,3.1,Europe
  3,Albania,1997,41,168332000,0.01,Albania,36.6,50.0,82.6,56.8,3,28.0,3.6,Europe
  4,Albania,1998,7,168332000,0.01,Albania,36.6,50.0,82.6,56.8,4,26.0,7.4,Europe
  5,Albania,1999,3,168332000,0.01,Albania,36.6,50.0,82.6,56.8,5,25.0,8.9,Europe
  6,Albania,2000,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,6,24.5,10.4,Europe
  7,Albania,2001,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,7,24.0,12.0,Europe
  8,Albania,2002,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,8,26.5,13.7,Europe
  9,Albania,2003,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,9,31.8,16.4,Europe
  10,Albania,2004,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,10,35.5,19.2,Europe
  11,Albania,2005,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,11,37.7,21.0,Europe
  12,Albania,2006,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,12,39.6,24.1,Europe
  13,Albania,2007,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,13,41.9,27.2,Europe
  14,Albania,2008,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,14,42.7,29.3,Europe
  15,Albania,2009,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,15,45.2,32.0,Europe
  16,Albania,2010,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,16,45.7,32.5,Europe
  17,Albania,2011,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,17,46.5,32.7,Europe
  18,Albania,2012,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,18,47.2,31.5,Europe
  19,Albania,2013,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,19,45.3,30.9,Europe
  20,Albania,2014,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,20,45.6,30.8,Europe
  21,Albania,2015,4,168332000,0.01,Albania,36.6,50.0,82.6,56.8,21,46.1,31.8,Europe
  22,Albania,2016,2,168332000,0.01,Albania,36.6,50.0,82.6,56.8,22,47.2,30.6,Europe
  23,Albania,2017,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,23,50.0,31.0,Europe
  24,Albania,2018,0,168332000,0.01,Albania,36.6,50.0,82.6,56.8,24,53.8,36.2,Europe
  25,Albania,2019,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,25,59.8,39.3,Europe
  26,Albania,2020,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,26,65.4,38.0,Europe
  27,Albania,2021,1,168332000,0.01,Albania,36.6,50.0,82.6,56.8,27,67.1,38.5,Europe
